"REGION","TECHNOLOGY","MODE_OF_OPERATION","YEAR","Val"
"ATX","CTPP","1","2029",1.9444
"ATX","CTPP","1","2030",1.9444
"ATX","CTPP","1","2031",1.9444
"ATX","CTPP","1","2032",1.9444
"ATX","CTPP","1","2033",1.9444
"ATX","CTPP","1","2034",1.9444
"ATX","CTPP","1","2035",1.9444
"ATX","CTPP","1","2036",1.9444
"ATX","CTPP","1","2037",1.9444
"ATX","CTPP","1","2038",1.9444
"ATX","CTPP","1","2039",1.9444
"ATX","CTPP","1","2040",1.9444
"ATX","CTPP","1","2041",1.9444
"ATX","CTPP","1","2042",1.9444
"ATX","CTPP","1","2043",1.9444
"ATX","CTPP","1","2044",1.9444
"ATX","CTPP","1","2045",1.9444
"ATX","CTPP","1","2046",1.9444
"ATX","CTPP","1","2047",1.9444
"ATX","CTPP","1","2048",1.9444
"ATX","CTPP","1","2049",1.9444
"ATX","CTPP","1","2050",1.9444
"ATX","CTPP","2","2015",1E-6
"ATX","CTPP","2","2016",1E-6
"ATX","CTPP","2","2017",1E-6
"ATX","CTPP","2","2018",1E-6
"ATX","CTPP","2","2019",1E-6
"ATX","CTPP","2","2020",1E-6
"ATX","CTPP","2","2021",1E-6
"ATX","CTPP","2","2022",1E-6
"ATX","CTPP","2","2023",1E-6
"ATX","CTPP","2","2024",1E-6
"ATX","CTPP","2","2025",1E-6
"ATX","CTPP","2","2026",1E-6
"ATX","CTPP","2","2027",1E-6
"ATX","CTPP","2","2028",1E-6
"ATX","CTPP","2","2029",1E-6
"ATX","CTPP","2","2030",1E-6
"ATX","CTPP","2","2031",1E-6
"ATX","CTPP","2","2032",1E-6
"ATX","CTPP","2","2033",1E-6
"ATX","CTPP","2","2034",1E-6
"ATX","CTPP","2","2035",1E-6
"ATX","CTPP","2","2036",1E-6
"ATX","CTPP","2","2037",1E-6
"ATX","CTPP","2","2038",1E-6
"ATX","CTPP","2","2039",1E-6
"ATX","CTPP","2","2040",1E-6
"ATX","CTPP","2","2041",1E-6
"ATX","CTPP","2","2042",1E-6
"ATX","CTPP","2","2043",1E-6
"ATX","CTPP","2","2044",1E-6
"ATX","CTPP","2","2045",1E-6
"ATX","CTPP","2","2046",1E-6
"ATX","CTPP","2","2047",1E-6
"ATX","CTPP","2","2048",1E-6
"ATX","CTPP","2","2049",1E-6
"ATX","CTPP","2","2050",1E-6
"ATX","NUCPP","1","2015",0.5556
"ATX","NUCPP","1","2016",0.5556
"ATX","NUCPP","1","2017",0.5556
"ATX","NUCPP","1","2018",0.5556
"ATX","NUCPP","1","2019",0.5556
"ATX","NUCPP","1","2020",0.5556
"ATX","NUCPP","1","2021",0.5556
"ATX","NUCPP","1","2022",0.5556
"ATX","NUCPP","1","2023",0.5556
"ATX","NUCPP","1","2024",0.5556
"ATX","NUCPP","1","2025",0.5556
"ATX","NUCPP","1","2026",0.5556
"ATX","NUCPP","1","2027",0.5556
"ATX","NUCPP","1","2028",0.5556
"ATX","NUCPP","1","2029",0.5556
"ATX","NUCPP","1","2030",0.5556
"ATX","NUCPP","1","2031",0.5556
"ATX","NUCPP","1","2032",0.5556
"ATX","NUCPP","1","2033",0.5556
"ATX","NUCPP","1","2034",0.5556
"ATX","NUCPP","1","2035",0.5556
"ATX","NUCPP","1","2036",0.5556
"ATX","NUCPP","1","2037",0.5556
"ATX","NUCPP","1","2038",0.5556
"ATX","NUCPP","1","2039",0.5556
"ATX","NUCPP","1","2040",0.5556
"ATX","NUCPP","1","2041",0.5556
"ATX","NUCPP","1","2042",0.5556
"ATX","NUCPP","1","2043",0.5556
"ATX","NUCPP","1","2044",0.5556
"ATX","NUCPP","1","2045",0.5556
"ATX","NUCPP","1","2046",0.5556
"ATX","NUCPP","1","2047",0.5556
"ATX","NUCPP","1","2048",0.5556
"ATX","NUCPP","1","2049",0.5556
"ATX","NUCPP","1","2050",0.5556
"ATX","NUCPP","2","2015",1E-6
"ATX","NUCPP","2","2016",1E-6
"ATX","NUCPP","2","2017",1E-6
"ATX","NUCPP","2","2018",1E-6
"ATX","NUCPP","2","2019",1E-6
"ATX","NUCPP","2","2020",1E-6
"ATX","NUCPP","2","2021",1E-6
"ATX","NUCPP","2","2022",1E-6
"ATX","NUCPP","2","2023",1E-6
"ATX","NUCPP","2","2024",1E-6
"ATX","NUCPP","2","2025",1E-6
"ATX","NUCPP","2","2026",1E-6
"ATX","NUCPP","2","2027",1E-6
"ATX","NUCPP","2","2028",1E-6
"ATX","NUCPP","2","2029",1E-6
"ATX","NUCPP","2","2030",1E-6
"ATX","NUCPP","2","2031",1E-6
"ATX","NUCPP","2","2032",1E-6
"ATX","NUCPP","2","2033",1E-6
"ATX","NUCPP","2","2034",1E-6
"ATX","NUCPP","2","2035",1E-6
"ATX","NUCPP","2","2036",1E-6
"ATX","NUCPP","2","2037",1E-6
"ATX","NUCPP","2","2038",1E-6
"ATX","NUCPP","2","2039",1E-6
"ATX","NUCPP","2","2040",1E-6
"ATX","NUCPP","2","2041",1E-6
"ATX","NUCPP","2","2042",1E-6
"ATX","NUCPP","2","2043",1E-6
"ATX","NUCPP","2","2044",1E-6
"ATX","NUCPP","2","2045",1E-6
"ATX","NUCPP","2","2046",1E-6
"ATX","NUCPP","2","2047",1E-6
"ATX","NUCPP","2","2048",1E-6
"ATX","NUCPP","2","2049",1E-6
"ATX","NUCPP","2","2050",1E-6
"ATX","HYDROPP","1","2015",1E-6
"ATX","HYDROPP","1","2016",1E-6
"ATX","HYDROPP","1","2017",1E-6
"ATX","HYDROPP","1","2018",1E-6
"ATX","HYDROPP","1","2019",1E-6
"ATX","HYDROPP","1","2020",1E-6
"ATX","HYDROPP","1","2021",1E-6
"ATX","HYDROPP","1","2022",1E-6
"ATX","HYDROPP","1","2023",1E-6
"ATX","HYDROPP","1","2024",1E-6
